Plane,Img_x,Img_y,Enc_x,Enc_y
1,1557,2103,2565,1903
1,2673,1698,2673,1869
1,2166,1491,2646,1803
1,1695,1642,2583,1827
2,1557,2103,2565,1903
2,2673,1698,2673,1869
2,2166,1491,2646,1803
2,1695,1642,2583,1827
2,308,1705,2465,1808
2,1595,1344,2599,1733
2,3530,1374,2807,1841
3,308,1705,2465,1808
3,1595,1344,2599,1733
3,3530,1374,2807,1841
3,917,1440,2530,1745
3,1346,1333,2571,1727
3,2950,1087,2799,1723
3,1440,1174,2585,1687
3,3513,1195,2838,1809
4,910,1177,2529,1745
4,221,1388,2461,1782
4,233,1271,2449,1760
4,783,1103,2509,1714
5,917,1440,2530,1745
5,1346,1333,2571,1727
5,783,1103,2509,1714
5,998,929,2514,1616
5,920,1199,2520,1706
5,1294,1101,2576,1678
6,783,1103,2509,1714
6,998,929,2514,1616
6,246,1225,2451,1757
6,272,794,2405,1546
6,138,777,2368,1528
6,637,732,2444,1418
7,1795,679,2703,1435
7,706,628,2455,1186
7,637,732,2444,1418
7,1875,526,2805,1124
7,1875,786,2697,1527
7,1875,588,2747,1372
8,998,929,2514,1616
8,637,732,2444,1418
8,1865,901,2664,1619
8,1294,1101,2576,1678
8,1875,786,2697,1527
9,3796,862,3030,1704
9,3096,918,2855,1699
9,2818,646,2909,1522
9,2245,567,2839,1360
9,1875,786,2697,1527
9,1875,588,2747,1372
9,2382,708,2804,1526
9,2489,512,2958,1263
9,3021,530,3154,1329
9,3753,794,3065,1658
10,1865,901,2664,1619
10,1294,1101,2576,1678
10,1440,1174,2585,1687
10,2175,925,2711,1648
11,1865,901,2664,1619
11,3096,918,2855,1699
11,1878,787,2672,1608
11,2697,855,2791,1667
11,3088,966,2845,1711
12,2950,1087,2799,1723
12,2341,1029,2726,1669
12,2353,903,2734,1653
12,3088,966,2845,1711
13,2950,1087,2799,1723
13,3096,918,2855,1699
13,3088,966,2845,1711
13,3513,1195,2838,1809
13,3534,1098,2862,1791
14,1891,528,2746,1362
14,2248,562,2838,1361
14,2238,519,2839,1349
14,1875,588,2747,1372
